,level_0,index,sequence,frame_1,frame_2,diff_frame,x1,y1,x2,y2,player,net_hit,sub,avg_velocity
0,0,0,1,15,56,41,523,215,109,172,player_A,1,0,10.15
1,1,1,2,2189,2223,34,1407,124,704,254,player_B,0,0,21.03
2,2,2,3,2267,2299,32,848,262,1475,177,player_A,0,0,19.77
3,3,3,4,9240,9299,59,1269,163,612,244,player_B,0,1,11.22
4,4,4,5,9340,9369,29,874,254,1137,208,player_A,0,0,9.21
5,5,5,6,10459,10518,59,1313,206,480,248,player_B,0,1,14.14
6,6,6,7,12325,12382,57,593,225,1229,188,player_A,0,1,11.18
7,7,7,8,14175,14210,35,866,255,1219,193,player_A,0,0,10.24
8,8,8,9,14233,14260,27,954,210,382,199,player_B,0,0,21.19
9,9,9,10,14301,14326,25,793,235,1473,231,player_A,0,0,27.2
10,10,10,11,14348,14387,39,974,313,500,288,player_B,0,0,12.17
11,11,11,12,14403,14434,31,838,286,1434,213,player_A,0,0,19.37
12,12,12,13,14482,14509,27,1008,262,481,270,player_B,0,0,19.52
13,13,13,14,14523,14557,34,830,273,1579,203,player_A,0,0,22.13
14,14,14,15,14605,14631,26,988,282,455,269,player_B,0,0,20.51
15,15,15,16,14647,14674,27,837,259,1354,230,player_A,0,0,19.18
16,16,16,17,14766,14799,33,949,344,562,288,player_B,0,0,11.85
17,17,17,18,14816,14842,26,840,267,1222,227,player_A,0,0,14.77
18,18,18,19,14938,14971,33,959,273,455,259,player_B,0,0,15.28
19,19,19,20,16421,16453,32,909,202,602,196,player_B,0,0,9.6
20,20,20,21,16482,16518,36,840,256,1350,253,player_A,0,0,14.17
21,21,21,22,16541,16569,28,1031,278,253,215,player_B,0,0,27.88
22,22,22,23,16587,16611,24,811,224,1304,226,player_A,0,0,20.54
23,23,23,24,16655,16689,34,971,282,211,202,player_B,0,0,22.48
24,24,24,25,17498,17536,38,871,262,1085,216,player_A,0,0,5.76
25,25,25,26,18299,18337,38,932,236,504,201,player_B,0,0,11.3
26,26,26,27,18370,18403,33,853,234,1139,185,player_A,0,0,8.79
27,27,27,28,18456,18483,27,913,218,686,228,player_B,0,0,8.42
28,28,28,29,18530,18567,37,866,262,1227,190,player_A,0,0,9.95
29,29,29,30,18593,18625,32,966,216,125,175,player_B,0,0,26.31
30,30,30,31,18698,18732,34,846,295,1324,216,player_A,0,0,14.25
31,31,31,32,20705,20742,37,902,275,809,242,player_B,0,0,2.67
32,32,32,33,22529,22564,35,863,263,1223,214,player_A,0,0,10.38
33,33,33,34,22588,22615,27,958,251,533,260,player_B,0,0,15.74
34,34,34,35,24583,24643,60,626,222,1268,175,player_A,0,1,10.73
35,35,35,36,24674,24710,36,977,260,549,252,player_B,0,0,11.89
36,36,36,37,27734,27767,33,846,226,1170,187,player_A,0,0,9.89
37,37,37,38,27810,27837,27,916,229,688,225,player_B,0,0,8.45
38,38,38,39,27887,27926,39,864,258,1265,171,player_A,0,0,10.52
39,39,39,40,27957,27981,24,984,226,467,274,player_B,0,0,21.63
40,40,40,41,29607,29643,36,851,218,1252,171,player_A,0,0,11.22
41,41,41,42,29674,29712,38,933,267,659,249,player_B,0,0,7.23
42,42,42,43,30250,30285,35,657,187,1002,236,player_A,0,0,9.96
43,43,43,44,31694,31750,56,1295,125,543,219,player_B,0,1,13.53
44,44,44,45,31793,31848,55,844,246,543,244,player_A,0,0,5.47
45,45,45,46,32644,32678,34,878,280,1088,221,player_A,0,0,6.42
46,46,46,47,33370,33429,59,1414,125,482,249,player_B,0,1,15.94
47,47,47,48,33478,33516,38,1327,162,324,138,player_A,0,0,26.4
48,48,48,49,36385,36418,33,859,235,1196,190,player_A,0,0,10.3
49,49,49,50,36438,36473,35,957,225,187,173,player_B,0,0,22.05
50,50,50,51,36506,36530,24,765,216,1359,254,player_A,0,0,24.8
51,51,51,52,37948,38010,62,592,226,1279,210,player_A,0,1,11.08
52,52,52,53,38150,38187,37,844,293,1530,208,player_A,0,0,18.68
53,53,53,54,38204,38228,24,1043,230,274,269,player_B,0,0,32.08
54,54,54,55,40386,40413,27,871,253,1015,217,player_A,0,0,5.5
55,55,55,56,41720,41778,58,1228,141,646,246,player_B,0,1,10.2
56,56,56,57,41811,41850,39,862,301,1376,235,player_A,0,0,13.29
57,57,57,58,41868,41892,24,1014,281,298,279,player_B,0,0,29.83
58,58,58,59,44213,44248,35,919,209,592,219,player_B,0,0,9.35
59,59,59,60,44274,44307,33,829,246,1356,191,player_A,0,0,16.06
60,60,60,61,44318,44353,35,997,251,480,275,player_B,0,0,14.79
61,61,61,62,44368,44403,35,820,280,1608,132,player_A,0,0,22.91
62,62,62,63,45695,45733,38,920,238,686,231,player_B,0,0,6.16
63,63,63,64,47111,47172,61,589,225,1250,205,player_A,0,1,10.84
64,64,64,65,49246,49277,31,844,219,1175,172,player_A,0,0,10.78
65,65,65,66,49327,49363,36,925,248,610,225,player_B,0,0,8.77
66,66,66,67,49408,49442,34,841,229,1290,137,player_A,0,0,13.48
67,67,67,68,49486,49513,27,911,230,742,238,player_B,0,0,6.27
68,68,68,69,49561,49600,39,869,272,1216,198,player_A,0,0,9.1
69,69,69,70,69173,69212,39,864,272,1295,250,player_A,0,0,11.07
70,70,70,71,69240,69271,31,973,268,284,188,player_B,0,0,22.38
71,71,71,72,69297,69326,29,825,259,1346,260,player_A,0,0,17.97
72,72,72,73,69346,69372,26,986,254,309,194,player_B,0,0,26.14
73,73,73,74,69395,69424,29,802,257,1388,266,player_A,0,0,20.21
74,74,74,75,69440,69469,29,995,264,221,199,player_B,0,0,26.78
75,75,75,76,69489,69517,28,813,255,1371,260,player_A,0,0,19.93
76,76,76,77,69535,69564,29,972,266,251,208,player_B,0,0,24.94
77,77,77,78,69585,69614,29,818,265,1396,260,player_A,0,0,19.93
78,78,78,79,69637,69664,27,973,259,362,205,player_B,0,0,22.72
79,79,79,80,69688,69715,27,813,257,1373,274,player_A,0,0,20.75
80,80,80,81,69750,69775,25,1001,283,186,200,player_B,0,0,32.77
81,81,81,82,69793,69821,28,808,254,1419,266,player_A,0,0,21.83
82,82,82,83,69853,69878,25,1016,273,121,195,player_B,0,0,35.94
83,83,83,84,69896,69923,27,810,248,1400,258,player_A,0,0,21.85
84,84,84,85,69958,69984,26,995,277,131,193,player_B,0,0,33.39
85,85,85,86,70000,70031,31,796,256,1479,256,player_A,0,0,22.03
86,86,86,87,70062,70092,30,1011,288,239,202,player_B,0,0,25.89
87,87,87,88,70108,70134,26,807,227,1354,247,player_A,0,0,21.05
88,88,88,89,70177,70202,25,986,260,79,169,player_B,0,0,36.46
89,89,89,90,71181,71216,35,1228,174,718,212,player_B,0,0,14.61
90,90,90,91,71281,71309,28,829,252,1321,246,player_A,0,0,17.57
91,91,91,92,71402,71429,27,794,232,1353,238,player_A,0,0,20.7
92,92,92,93,71475,71504,29,996,278,197,207,player_B,0,0,27.66
93,93,93,94,71521,71549,28,802,250,1355,257,player_A,0,0,19.75
94,94,94,95,71589,71615,26,1011,276,140,201,player_B,0,0,33.62
95,95,95,96,71635,71664,29,832,258,1386,254,player_A,0,0,19.1
96,96,96,97,71702,71728,26,1006,277,147,197,player_B,0,0,33.18
97,97,97,98,71746,71772,26,809,243,1327,259,player_A,0,0,19.93
98,98,98,99,71811,71837,26,1020,285,120,200,player_B,0,0,34.77
99,99,99,100,71856,71884,28,804,252,1384,256,player_A,0,0,20.71
100,100,100,101,71923,71949,26,995,286,99,210,player_B,0,0,34.59
101,101,101,102,71970,71996,26,813,257,1308,265,player_A,0,0,19.04
102,102,102,103,72033,72062,29,961,282,307,214,player_B,0,0,22.67
103,103,103,104,72094,72120,26,842,259,1267,256,player_A,0,0,16.35
104,104,104,105,72151,72180,29,980,275,317,210,player_B,0,0,22.97
105,105,105,106,72219,72246,27,808,271,1393,272,player_A,0,0,21.67
106,106,106,107,72266,72297,31,988,276,224,183,player_B,0,0,24.83
107,107,107,108,72338,72363,25,784,252,1407,271,player_A,0,0,24.93
108,108,108,109,72386,72413,27,956,250,343,195,player_B,0,0,22.79
109,109,109,110,72461,72487,26,782,251,1439,262,player_A,0,0,25.27
110,110,110,111,72509,72538,29,968,258,267,187,player_B,0,0,24.3
111,111,111,112,72581,72608,27,787,260,1415,267,player_A,0,0,23.26
112,112,112,113,72627,72654,27,974,248,340,194,player_B,0,0,23.57
113,113,113,114,72699,72724,25,762,236,1450,265,player_A,0,0,27.54
114,114,114,115,73301,73338,37,1264,160,720,211,player_B,0,0,14.77
115,115,115,116,73423,73452,29,821,246,1423,245,player_A,0,0,20.76
116,116,116,117,73475,73504,29,975,249,337,186,player_B,0,0,22.11
117,117,117,118,73547,73573,26,792,243,1366,264,player_A,0,0,22.09
118,118,118,119,73596,73625,29,966,265,319,200,player_B,0,0,22.42
119,119,119,120,73664,73689,25,781,250,1418,266,player_A,0,0,25.49
120,120,120,121,73709,73739,30,964,270,281,202,player_B,0,0,22.88
121,121,121,122,73775,73799,24,764,242,1441,259,player_A,0,0,28.22
122,122,122,123,73820,73848,28,978,253,343,196,player_B,0,0,22.77
123,123,123,124,73886,73910,24,781,247,1385,274,player_A,0,0,25.19
124,124,124,125,73929,73962,33,968,282,164,177,player_B,0,0,24.57
125,125,125,126,75209,75268,59,1295,142,557,249,player_B,0,1,12.64
126,126,126,127,75294,75320,26,828,241,1298,176,player_A,0,0,18.25
127,127,127,128,75343,75374,31,954,254,510,272,player_B,0,0,14.33
128,128,128,129,75393,75423,30,833,257,1399,176,player_A,0,0,19.06
129,129,129,130,75438,75473,35,971,256,556,273,player_B,0,0,11.87
130,130,130,131,75488,75517,29,840,251,1418,176,player_A,0,0,20.1
131,131,131,132,75533,75564,31,964,247,492,267,player_B,0,0,15.24
132,132,132,133,75580,75608,28,821,246,1418,172,player_A,0,0,21.48
133,133,133,134,75623,75657,34,968,250,537,265,player_B,0,0,12.68
134,134,134,135,75671,75699,28,826,244,1428,168,player_A,0,0,21.67
135,135,135,136,75715,75743,28,953,233,476,258,player_B,0,0,17.06
136,136,136,137,75761,75787,26,815,239,1430,172,player_A,0,0,23.79
137,137,137,138,75808,75836,28,951,247,543,269,player_B,0,0,14.59
138,138,138,139,77043,77102,59,1283,133,521,252,player_B,0,1,13.07
139,139,139,140,77124,77155,31,836,253,1389,165,player_A,0,0,18.06
140,140,140,141,77172,77198,26,967,223,450,262,player_B,0,0,19.94
141,141,141,142,77227,77258,31,853,270,1433,175,player_A,0,0,18.96
142,142,142,143,77272,77302,30,975,239,428,271,player_B,0,0,18.26
143,143,143,144,77323,77358,35,837,278,1333,203,player_A,0,0,14.33
144,144,144,145,77369,77401,32,972,253,478,270,player_B,0,0,15.45
145,145,145,146,77418,77453,35,828,279,1378,190,player_A,0,0,15.92
146,146,146,147,77466,77497,31,968,250,450,269,player_B,0,0,16.72
147,147,147,148,77515,77549,34,837,272,1381,206,player_A,0,0,16.12
148,148,148,149,77563,77596,33,978,263,403,266,player_B,0,0,17.42
149,149,149,150,77615,77649,34,817,267,1335,203,player_A,0,0,15.35
150,150,150,151,77661,77689,28,965,244,419,270,player_B,0,0,19.52
151,151,151,152,77711,77743,32,843,269,1412,182,player_A,0,0,17.99
152,152,152,153,77758,77792,34,969,265,473,277,player_B,0,0,14.59
153,153,153,154,77810,77844,34,839,280,1452,193,player_A,0,0,18.21
154,154,154,155,77859,77891,32,985,264,516,280,player_B,0,0,14.66
155,155,155,156,77908,77967,59,846,274,619,252,player_A,0,0,3.87
156,156,156,157,79066,79126,60,516,233,1415,175,player_A,0,1,15.01
157,157,157,158,79149,79182,33,947,265,526,267,player_B,0,0,12.76
158,158,158,159,79222,79248,26,834,258,1335,197,player_A,0,0,19.41
159,159,159,160,79273,79303,30,971,262,516,272,player_B,0,0,15.17
